structure,method,size,total_time,avgiter,avgaccess,opt
vector,for_each,50,171665,17,0,3
array,random,50,3712244,371,7,3
vector,random,50,3618727,361,7,3
array,index,1000,171218,17,0,3
vector,index,1000,2955221,295,0,3
vector,iterator,1000,163809,16,0,3
vector,for_each,1000,163488,16,0,3
array,random,1000,60603706,6060,6,3
vector,random,1000,79145254,7914,7,3
vector,std::for_each,50,165410,16,0,3
vector,std::for_each,1000,165315,16,0,3
array,index,50,1049796,104,2,0
vector,index,50,4667286,466,9,0
vector,iterator,50,7543998,754,15,0
vector,for_each,50,4137237,413,8,0
array,random,50,4157876,415,8,0
vector,random,50,7250110,725,14,0
array,index,1000,19972356,1997,1,0
vector,index,1000,88611414,8861,8,0
vector,iterator,1000,147294428,14729,14,0
vector,for_each,1000,71033609,7103,7,0
array,random,1000,80888290,8088,8,0
vector,random,1000,139664262,13966,13,0
vector,std::for_each,50,4667863,466,9,0
vector,std::for_each,1000,83534366,8353,8,0
array,index,50,296999,29,0,1
vector,index,50,409623,40,0,1
vector,iterator,50,302284,30,0,1
vector,for_each,50,294653,29,0,1
array,random,50,3315583,331,6,1
vector,random,50,4210022,421,8,1
array,index,1000,5203317,520,0,1
vector,index,1000,7721809,772,0,1
vector,iterator,1000,2750405,275,0,1
vector,for_each,1000,5200024,520,0,1
array,random,1000,69956400,6995,6,1
vector,random,1000,76993890,7699,7,1
vector,std::for_each,50,296565,29,0,1
vector,std::for_each,1000,5206063,520,0,1
array,index,50,163589,16,0,2
vector,index,50,322702,32,0,2
vector,iterator,50,169103,16,0,2
vector,for_each,50,169679,16,0,2
array,random,50,3678296,367,7,2
vector,random,50,3760389,376,7,2
array,index,1000,170598,17,0,2
vector,index,1000,2874044,287,0,2
vector,iterator,1000,163849,16,0,2
vector,for_each,1000,163582,16,0,2
array,random,1000,64401719,6440,6,2
vector,random,1000,76298504,7629,7,2
vector,std::for_each,50,163678,16,0,2
vector,std::for_each,1000,165710,16,0,2
array,index,50,163556,16,0,3
vector,index,50,322677,32,0,3
vector,iterator,50,292092,29,0,3
vector,for_each,50,168128,16,0,3
array,random,50,3603019,360,7,3
vector,random,50,3619758,361,7,3
array,index,1000,168760,16,0,3
vector,index,1000,2875826,287,0,3
vector,iterator,1000,163711,16,0,3
vector,for_each,1000,163613,16,0,3
array,random,1000,62155227,6215,6,3
vector,random,1000,76114614,7611,7,3
vector,std::for_each,50,163729,16,0,3
vector,std::for_each,1000,163802,16,0,3
array,index,50,1034529,103,2,0
vector,index,50,4686778,468,9,0
vector,iterator,50,7408819,740,14,0
vector,for_each,50,4129906,412,8,0
array,random,50,4272698,427,8,0
vector,random,50,7248792,724,14,0
array,index,1000,20385240,2038,2,0
vector,index,1000,92057272,9205,9,0
vector,iterator,1000,147106080,14710,14,0
vector,for_each,1000,71834705,7183,7,0
array,random,1000,80020639,8002,8,0
vector,random,1000,136957129,13695,13,0
vector,std::for_each,50,4571901,457,9,0
vector,std::for_each,1000,83445375,8344,8,0
array,index,50,289317,28,0,1
vector,index,50,388686,38,0,1
vector,iterator,50,287861,28,0,1
vector,for_each,50,289911,28,0,1
array,random,50,3673966,367,7,1
vector,random,50,4224661,422,8,1
array,index,1000,5335055,533,0,1
vector,index,1000,7707885,770,0,1
vector,iterator,1000,2753161,275,0,1
vector,for_each,1000,5274298,527,0,1
array,random,1000,69672769,6967,6,1
vector,random,1000,77515627,7751,7,1
vector,std::for_each,50,291940,29,0,1
vector,std::for_each,1000,5224014,522,0,1
array,index,50,163666,16,0,2
vector,index,50,398599,39,0,2
vector,iterator,50,163085,16,0,2
vector,for_each,50,162059,16,0,2
array,random,50,3585941,358,7,2
vector,random,50,3607385,360,7,2
array,index,1000,162916,16,0,2
vector,index,1000,2880929,288,0,2
vector,iterator,1000,163672,16,0,2
vector,for_each,1000,163583,16,0,2
array,random,1000,60273294,6027,6,2
vector,random,1000,76276766,7627,7,2
vector,std::for_each,50,163668,16,0,2
vector,std::for_each,1000,165315,16,0,2
array,index,50,165469,16,0,3
vector,index,50,322627,32,0,3
vector,iterator,50,164222,16,0,3
vector,for_each,50,163682,16,0,3
array,random,50,3586820,358,7,3
vector,random,50,3747637,374,7,3
array,index,1000,167850,16,0,3
vector,index,1000,2951784,295,0,3
vector,iterator,1000,163667,16,0,3
vector,for_each,1000,163552,16,0,3
array,random,1000,61442531,6144,6,3
vector,random,1000,78055435,7805,7,3
vector,std::for_each,50,167839,16,0,3
vector,std::for_each,1000,169880,16,0,3
array,index,50,1077157,107,2,0
vector,index,50,4799384,479,9,0
vector,iterator,50,7575999,757,15,0
vector,for_each,50,4224840,422,8,0
array,random,50,4318337,431,8,0
vector,random,50,8704016,870,17,0
array,index,1000,20813606,2081,2,0
vector,index,1000,91037120,9103,9,0
vector,iterator,1000,147206108,14720,14,0
vector,for_each,1000,71143559,7114,7,0
array,random,1000,79850166,7985,7,0
vector,random,1000,134316762,13431,13,0
vector,std::for_each,50,4469407,446,8,0
vector,std::for_each,1000,81304021,8130,8,0
array,index,50,282191,28,0,1
vector,index,50,388761,38,0,1
vector,iterator,50,289289,28,0,1
vector,for_each,50,294790,29,0,1
array,random,50,3356256,335,6,1
vector,random,50,4178200,417,8,1
array,index,1000,5213191,521,0,1
vector,index,1000,7754470,775,0,1
vector,iterator,1000,2816632,281,0,1
vector,for_each,1000,5200078,520,0,1
array,random,1000,70130533,7013,7,1
vector,random,1000,76450139,7645,7,1
vector,std::for_each,50,291239,29,0,1
vector,std::for_each,1000,5206234,520,0,1
array,index,50,163520,16,0,2
vector,index,50,335752,33,0,2
vector,iterator,50,167108,16,0,2
vector,for_each,50,166016,16,0,2
array,random,50,3703659,370,7,2
vector,random,50,3656747,365,7,2
array,index,1000,166140,16,0,2
vector,index,1000,2872990,287,0,2
vector,iterator,1000,167997,16,0,2
vector,for_each,1000,167762,16,0,2
array,random,1000,60527867,6052,6,2
vector,random,1000,76534738,7653,7,2
vector,std::for_each,50,168875,16,0,2
vector,std::for_each,1000,165908,16,0,2
array,index,50,163588,16,0,3
vector,index,50,327385,32,0,3
vector,iterator,50,167815,16,0,3
vector,for_each,50,173145,17,0,3
array,random,50,3678416,367,7,3
vector,random,50,3715765,371,7,3
array,index,1000,167758,16,0,3
vector,index,1000,2948573,294,0,3
vector,iterator,1000,167882,16,0,3
vector,for_each,1000,167736,16,0,3
array,random,1000,62272319,6227,6,3
vector,random,1000,77865794,7786,7,3
vector,std::for_each,50,167891,16,0,3
vector,std::for_each,1000,169852,16,0,3
array,index,50,1071795,107,2,0
vector,index,50,4796675,479,9,0
vector,iterator,50,7638753,763,15,0
vector,for_each,50,4249979,424,8,0
array,random,50,4270008,427,8,0
vector,random,50,7458484,745,14,0
array,index,1000,20890962,2089,2,0
vector,index,1000,92497817,9249,9,0
vector,iterator,1000,146184553,14618,14,0
vector,for_each,1000,69380836,6938,6,0
array,random,1000,80002637,8000,8,0
vector,random,1000,138913359,13891,13,0
vector,std::for_each,50,4595455,459,9,0
vector,std::for_each,1000,83588007,8358,8,0
array,index,50,282159,28,0,1
vector,index,50,388624,38,0,1
vector,iterator,50,291831,29,0,1
vector,for_each,50,287240,28,0,1
array,random,50,3229602,322,6,1
vector,random,50,4064573,406,8,1
array,index,1000,5250510,525,0,1
vector,index,1000,7707825,770,0,1
vector,iterator,1000,2823321,282,0,1
vector,for_each,1000,5381155,538,0,1
array,random,1000,70270984,7027,7,1
vector,random,1000,77831558,7783,7,1
vector,std::for_each,50,308680,30,0,1
vector,std::for_each,1000,5206339,520,0,1
array,index,50,164599,16,0,2
vector,index,50,321202,32,0,2
vector,iterator,50,162966,16,0,2
vector,for_each,50,169692,16,0,2
array,random,50,3676659,367,7,2
vector,random,50,3740553,374,7,2
array,index,1000,166822,16,0,2
vector,index,1000,2883542,288,0,2
vector,iterator,1000,163647,16,0,2
vector,for_each,1000,172117,17,0,2
array,random,1000,62661893,6266,6,2
vector,random,1000,78255006,7825,7,2
vector,std::for_each,50,168108,16,0,2
vector,std::for_each,1000,167616,16,0,2
array,index,50,170766,17,0,3
vector,index,50,370156,37,0,3
vector,iterator,50,186490,18,0,3
vector,for_each,50,186533,18,0,3
array,random,50,3985572,398,7,3
vector,random,50,3913791,391,7,3
array,index,1000,176849,17,0,3
vector,index,1000,3025213,302,0,3
vector,iterator,1000,172221,17,0,3
vector,for_each,1000,172045,17,0,3
array,random,1000,65614529,6561,6,3
vector,random,1000,82937656,8293,8,3
vector,std::for_each,50,169691,16,0,3
vector,std::for_each,1000,168162,16,0,3
array,index,50,1071771,107,2,0
vector,index,50,4791349,479,9,0
vector,iterator,50,7537722,753,15,0
vector,for_each,50,4123321,412,8,0
array,random,50,4128069,412,8,0
vector,random,50,7051177,705,14,0
array,index,1000,20118951,2011,2,0
vector,index,1000,89641900,8964,8,0
vector,iterator,1000,143480533,14348,14,0
vector,for_each,1000,69234233,6923,6,0
array,random,1000,78048613,7804,7,0
vector,random,1000,133908498,13390,13,0
vector,std::for_each,50,4560734,456,9,0
vector,std::for_each,1000,85522215,8552,8,0
array,index,50,289449,28,0,1
vector,index,50,414803,41,0,1
vector,iterator,50,294832,29,0,1
vector,for_each,50,298325,29,0,1
array,random,50,3241809,324,6,1
vector,random,50,4257168,425,8,1
array,index,1000,5197303,519,0,1
vector,index,1000,7728106,772,0,1
vector,iterator,1000,2752606,275,0,1
vector,for_each,1000,5200946,520,0,1
array,random,1000,68840914,6884,6,1
vector,random,1000,76803500,7680,7,1
vector,std::for_each,50,292152,29,0,1
vector,std::for_each,1000,5234400,523,0,1
array,index,50,163674,16,0,2
vector,index,50,322699,32,0,2
vector,iterator,50,162907,16,0,2
vector,for_each,50,165305,16,0,2
array,random,50,3585599,358,7,2
vector,random,50,3822541,382,7,2
array,index,1000,173617,17,0,2
vector,index,1000,3200797,320,0,2
